;Unnamed: 0;isi_tweet;sentimen;step01;tokens;final_tokens;step02
13;13;RT @kochengfs: 🐈 haiii aku open adopt kittens nih, peranakan persia-domestik . ada 4 (2cewe, 2 cowo), boleh adopt salah satu/semuanya, tapi…;0;rt user haiii aku open adopt kittens nih peranakan persia domestik ada number 2 cewe number cowo boleh adopt salah satu semuanya tapi;['rt', 'user', 'haiii', 'aku', 'open', 'adopt', 'kittens', 'nih', 'peranakan', 'persia', 'domestik', 'ada', 'number', '2', 'cewe', 'number', 'cowo', 'boleh', 'adopt', 'salah', 'satu', 'semuanya', 'tapi'];['rt', 'user', 'haiii', 'aku', 'open', 'adopt', 'kittens', 'nih', 'peranakan', 'persia', 'domestik', 'ada', 'number', '2', 'cewe', 'number', 'cowo', 'boleh', 'adopt', 'salah', 'satu', 'semuanya', 'tapi'];rt user haiii aku open adopt kittens nih peranakan persia domestik ada number 2 cewe number cowo boleh adopt salah satu semuanya tapi
14;14;RT @Retnowonosari: Moment Menteri BUMN @erickthohir  memberikan Kuliah Umum yang bertema “Peran BUMN Dalam Menghadapi Tantangan Ekonomi Bar…;0;rt user moment menteri bumn user memberikan kuliah umum yang bertema peran bumn dalam menghadapi tantangan ekonomi bar;['rt', 'user', 'moment', 'menteri', 'bumn', 'user', 'memberikan', 'kuliah', 'umum', 'yang', 'bertema', 'peran', 'bumn', 'dalam', 'menghadapi', 'tantangan', 'ekonomi', 'bar'];['rt', 'user', 'moment', 'menteri', 'bumn', 'user', 'memberikan', 'kuliah', 'umum', 'yang', 'bertema', 'peran', 'bumn', 'dalam', 'menghadapi', 'tantangan', 'ekonomi', 'bar'];rt user moment menteri bumn user memberikan kuliah umum yang bertema peran bumn dalam menghadapi tantangan ekonomi bar
15;15;"RT @elilalofyuu: Rekomendasi handbag, slingbag &amp; shoulderbag

˗ˏˋ a thread

Lahiran Hasil Tes Otak Telkomsel Wahabi Danamon smtown Hallowee…";0;rt user rekomendasi handbag slingbag shoulderbag thread lahiran hasil tes otak telkomsel wahabi danamon smtown hallowee;['rt', 'user', 'rekomendasi', 'handbag', 'slingbag', 'shoulderbag', 'thread', 'lahiran', 'hasil', 'tes', 'otak', 'telkomsel', 'wahabi', 'danamon', 'smtown', 'hallowee'];['rt', 'user', 'rekomendasi', 'handbag', 'slingbag', 'shoulderbag', 'thread', 'lahiran', 'hasil', 'tes', 'otak', 'telkomsel', 'wahabi', 'danamon', 'smtown', 'hallowee'];rt user rekomendasi handbag slingbag shoulderbag thread lahiran hasil tes otak telkomsel wahabi danamon smtown hallowee
16;16;49.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN:  Imigrasi Semarang Komitmen Cegah Dugaan Tindak Pidana Perdagangan O… https://t.co/xRj9WtieIO;0;number kakanwil kemenkumham jateng yuspahruddin imigrasi semarang komitmen cegah dugaan tindak pidana perdagangan coxrj9wtieio;['number', 'kakanwil', 'kemenkumham', 'jateng', 'yuspahruddin', 'imigrasi', 'semarang', 'komitmen', 'cegah', 'dugaan', 'tindak', 'pidana', 'perdagangan', 'coxrj9wtieio'];['number', 'kakanwil', 'kemenkumham', 'jateng', 'yuspahruddin', 'imigrasi', 'semarang', 'komitmen', 'cegah', 'dugaan', 'tindak', 'pidana', 'perdagangan', 'coxrj9wtieio'];number kakanwil kemenkumham jateng yuspahruddin imigrasi semarang komitmen cegah dugaan tindak pidana perdagangan coxrj9wtieio
17;17;Suasana Terkini Rumah Duka Novita Korban Penembakan Texas di Semarang https://t.co/ovSDyKVcsJ;0;suasana terkini rumah duka novita korban penembakan texas di semarang coovsdykvcsj;['suasana', 'terkini', 'rumah', 'duka', 'novita', 'korban', 'penembakan', 'texas', 'di', 'semarang', 'coovsdykvcsj'];['suasana', 'terkini', 'rumah', 'duka', 'novita', 'korban', 'penembakan', 'texas', 'di', 'semarang', 'coovsdykvcsj'];suasana terkini rumah duka novita korban penembakan texas di semarang coovsdykvcsj
18;18;RT @bwinsandi3: Menteri BUMN @erickthohir temui warga nelayan di Tambak Loro, Semarang, Jawa Tengah, Sabtu (29/10/2022).  Erick kembali bic…;0;rt user menteri bumn user temui warga nelayan di tambak loro semarang jawa tengah sabtu date erick kembali bic;['rt', 'user', 'menteri', 'bumn', 'user', 'temui', 'warga', 'nelayan', 'di', 'tambak', 'loro', 'semarang', 'jawa', 'tengah', 'sabtu', 'date', 'erick', 'kembali', 'bic'];['rt', 'user', 'menteri', 'bumn', 'user', 'temui', 'warga', 'nelayan', 'di', 'tambak', 'loro', 'semarang', 'jawa', 'tengah', 'sabtu', 'date', 'erick', 'kembali', 'bic'];rt user menteri bumn user temui warga nelayan di tambak loro semarang jawa tengah sabtu date erick kembali bic
19;19;Jenazah Novita Kurnia Putri, korban salah tembak di San Antonio, Texas, AS, dimakamkan di TPU Sasonoloyo Bumi Rejo,… https://t.co/bLUdFZrrFD;0;jenazah novita kurnia putri korban salah tembak di san antonio texas as dimakamkan di tpu sasonoloyo bumi rejo cobludfzrrfd;['jenazah', 'novita', 'kurnia', 'putri', 'korban', 'salah', 'tembak', 'di', 'san', 'antonio', 'texas', 'as', 'dimakamkan', 'di', 'tpu', 'sasonoloyo', 'bumi', 'rejo', 'cobludfzrrfd'];['jenazah', 'novita', 'kurnia', 'putri', 'korban', 'salah', 'tembak', 'di', 'san', 'antonio', 'texas', 'as', 'dimakamkan', 'di', 'tpu', 'sasonoloyo', 'bumi', 'rejo', 'cobludfzrrfd'];jenazah novita kurnia putri korban salah tembak di san antonio texas as dimakamkan di tpu sasonoloyo bumi rejo cobludfzrrfd
20;20;RT @polsekgayamsar1: Kunjungan Kapolri dalam rangka Stadium Generale  Universitas Islam Negeri Walisongo di UIN Walisongo Semarang, Sabtu (…;0;rt user kunjungan kapolri dalam rangka stadium generale universitas islam negeri walisongo di uin walisongo semarang sabtu;['rt', 'user', 'kunjungan', 'kapolri', 'dalam', 'rangka', 'stadium', 'generale', 'universitas', 'islam', 'negeri', 'walisongo', 'di', 'uin', 'walisongo', 'semarang', 'sabtu'];['rt', 'user', 'kunjungan', 'kapolri', 'dalam', 'rangka', 'stadium', 'generale', 'universitas', 'islam', 'negeri', 'walisongo', 'di', 'uin', 'walisongo', 'semarang', 'sabtu'];rt user kunjungan kapolri dalam rangka stadium generale universitas islam negeri walisongo di uin walisongo semarang sabtu
21;21;info lomba fifa semarang;0;info lomba fifa semarang;['info', 'lomba', 'fifa', 'semarang'];['info', 'lomba', 'fifa', 'semarang'];info lomba fifa semarang
22;22;RT @budibongg: Tahu bakso Bu Pudji、semarang https://t.co/WaiCe9HHxt;0;rt user tahu bakso bu pudji semarang cowaice9hhxt;['rt', 'user', 'tahu', 'bakso', 'bu', 'pudji', 'semarang', 'cowaice9hhxt'];['rt', 'user', 'tahu', 'bakso', 'bu', 'pudji', 'semarang', 'cowaice9hhxt'];rt user tahu bakso bu pudji semarang cowaice9hhxt
23;23;Distributor Resmi Herbal Kolesterol di Semarang, WA: 083842437980 (Suci)- LINE: ieq1101b #HerbalKolesterolSemarang #Semarang;0;distributor resmi herbal kolesterol di semarang wa number suci line ieq1101b hashtag herbal kolesterol semarang hashtag hashtag semarang hashtag;['distributor', 'resmi', 'herbal', 'kolesterol', 'di', 'semarang', 'wa', 'number', 'suci', 'line', 'ieq1101b', 'hashtag', 'herbal', 'kolesterol', 'semarang', 'hashtag', 'hashtag', 'semarang', 'hashtag'];['distributor', 'resmi', 'herbal', 'kolesterol', 'di', 'semarang', 'wa', 'number', 'suci', 'line', 'ieq1101b', 'hashtag', 'herbal', 'kolesterol', 'semarang', 'hashtag', 'hashtag', 'semarang', 'hashtag'];distributor resmi herbal kolesterol di semarang wa number suci line ieq1101b hashtag herbal kolesterol semarang hashtag hashtag semarang hashtag
24;24;RT @budibongg: Tahu bakso Bu Pudji、semarang https://t.co/WaiCe9HHxt;0;rt user tahu bakso bu pudji semarang cowaice9hhxt;['rt', 'user', 'tahu', 'bakso', 'bu', 'pudji', 'semarang', 'cowaice9hhxt'];['rt', 'user', 'tahu', 'bakso', 'bu', 'pudji', 'semarang', 'cowaice9hhxt'];rt user tahu bakso bu pudji semarang cowaice9hhxt
25;25;@budibongg Uncle lg di semarang;0;user uncle lg di semarang;['user', 'uncle', 'lg', 'di', 'semarang'];['user', 'uncle', 'lg', 'di', 'semarang'];user uncle lg di semarang
26;26;RT @budibongg: Tahu bakso Bu Pudji、semarang https://t.co/WaiCe9HHxt;0;rt user tahu bakso bu pudji semarang cowaice9hhxt;['rt', 'user', 'tahu', 'bakso', 'bu', 'pudji', 'semarang', 'cowaice9hhxt'];['rt', 'user', 'tahu', 'bakso', 'bu', 'pudji', 'semarang', 'cowaice9hhxt'];rt user tahu bakso bu pudji semarang cowaice9hhxt
27;27;Kasih rekomendasi makanan Semarang dong wajib dicoba (lima aja ya hehehe);0;kasih rekomendasi makanan semarang dong wajib dicoba lima aja ya hehehe;['kasih', 'rekomendasi', 'makanan', 'semarang', 'dong', 'wajib', 'dicoba', 'lima', 'aja', 'ya', 'hehehe'];['kasih', 'rekomendasi', 'makanan', 'semarang', 'dong', 'wajib', 'dicoba', 'lima', 'aja', 'ya', 'hehehe'];kasih rekomendasi makanan semarang dong wajib dicoba lima aja ya hehehe
28;28;@alexei_andreas Ajsjsjdjfj kira2 dilan ngapain ya sampe mas minke Semarang itu???;0;user ajsjsjdjfj kira2 dilan ngapain ya sampe mas minke semarang itu;['user', 'ajsjsjdjfj', 'kira2', 'dilan', 'ngapain', 'ya', 'sampe', 'mas', 'minke', 'semarang', 'itu'];['user', 'ajsjsjdjfj', 'kira2', 'dilan', 'ngapain', 'ya', 'sampe', 'mas', 'minke', 'semarang', 'itu'];user ajsjsjdjfj kira2 dilan ngapain ya sampe mas minke semarang itu
29;29;Tahu bakso Bu Pudji、semarang https://t.co/WaiCe9HHxt;0;tahu bakso bu pudji semarang cowaice9hhxt;['tahu', 'bakso', 'bu', 'pudji', 'semarang', 'cowaice9hhxt'];['tahu', 'bakso', 'bu', 'pudji', 'semarang', 'cowaice9hhxt'];tahu bakso bu pudji semarang cowaice9hhxt
30;30;"Kapolri Hadiri Undangan Orasi Kebangsaan Sumpah Pemuda

Kapolri Jenderal Polisi Drs. Listyo Sigit Prabowo,… https://t.co/GRMJYcZZgt";0;kapolri hadiri undangan orasi kebangsaan sumpah pemuda kapolri jenderal polisi drs listyo sigit prabowo cogrmjyczzgt;['kapolri', 'hadiri', 'undangan', 'orasi', 'kebangsaan', 'sumpah', 'pemuda', 'kapolri', 'jenderal', 'polisi', 'drs', 'listyo', 'sigit', 'prabowo', 'cogrmjyczzgt'];['kapolri', 'hadiri', 'undangan', 'orasi', 'kebangsaan', 'sumpah', 'pemuda', 'kapolri', 'jenderal', 'polisi', 'drs', 'listyo', 'sigit', 'prabowo', 'cogrmjyczzgt'];kapolri hadiri undangan orasi kebangsaan sumpah pemuda kapolri jenderal polisi drs listyo sigit prabowo cogrmjyczzgt
31;31;RT @NCTDreamINA: /dreamies Halo semua, aku mau ajak nctzen semarang buat nonton bareng NCT DREAM THE MOVIE kalau udah rilis di Indonesia ak…;0;rt user dreamies halo semua aku mau ajak nctzen semarang buat nonton bareng nct dream the movie kalau udah rilis di indonesia ak;['rt', 'user', 'dreamies', 'halo', 'semua', 'aku', 'mau', 'ajak', 'nctzen', 'semarang', 'buat', 'nonton', 'bareng', 'nct', 'dream', 'the', 'movie', 'kalau', 'udah', 'rilis', 'di', 'indonesia', 'ak'];['rt', 'user', 'dreamies', 'halo', 'semua', 'aku', 'mau', 'ajak', 'nctzen', 'semarang', 'buat', 'nonton', 'bareng', 'nct', 'dream', 'the', 'movie', 'kalau', 'udah', 'rilis', 'di', 'indonesia', 'ak'];rt user dreamies halo semua aku mau ajak nctzen semarang buat nonton bareng nct dream the movie kalau udah rilis di indonesia ak
32;32;"Oke tambah 1 lagi dari org yg pen aku gebukkk

👦 makmur nu ra neng semarang, pipimu tambah gede

😭😭😭 halal untuk ditabokkk";0;oke tambah number lagi dari org yg pen aku gebukkk makmur nu ra neng semarang pipimu tambah gede halal untuk ditabokkk;['oke', 'tambah', 'number', 'lagi', 'dari', 'org', 'yg', 'pen', 'aku', 'gebukkk', 'makmur', 'nu', 'ra', 'neng', 'semarang', 'pipimu', 'tambah', 'gede', 'halal', 'untuk', 'ditabokkk'];['oke', 'tambah', 'number', 'lagi', 'dari', 'org', 'yg', 'pen', 'aku', 'gebukkk', 'makmur', 'nu', 'ra', 'neng', 'semarang', 'pipimu', 'tambah', 'gede', 'halal', 'untuk', 'ditabokkk'];oke tambah number lagi dari org yg pen aku gebukkk makmur nu ra neng semarang pipimu tambah gede halal untuk ditabokkk
33;33;"RT @browklynbaby_: flow overall / jumpsuit / baju kodok wanita 😍😍
🖇️ https://t.co/XfpLq3gYBE

#racunshopee #BLACKPINK_WORLDTOUR #1YearUniql…";0;rt user flow overall jumpsuit baju kodok wanita coxfplq3gybe hashtag racun shopee hashtag hashtag blackpink worldtour hashtag hashtag 1 year uniql hashtag;['rt', 'user', 'flow', 'overall', 'jumpsuit', 'baju', 'kodok', 'wanita', 'coxfplq3gybe', 'hashtag', 'racun', 'shopee', 'hashtag', 'hashtag', 'blackpink', 'worldtour', 'hashtag', 'hashtag', '1', 'year', 'uniql', 'hashtag'];['rt', 'user', 'flow', 'overall', 'jumpsuit', 'baju', 'kodok', 'wanita', 'coxfplq3gybe', 'hashtag', 'racun', 'shopee', 'hashtag', 'hashtag', 'blackpink', 'worldtour', 'hashtag', 'hashtag', '1', 'year', 'uniql', 'hashtag'];rt user flow overall jumpsuit baju kodok wanita coxfplq3gybe hashtag racun shopee hashtag hashtag blackpink worldtour hashtag hashtag 1 year uniql hashtag
34;34;@geraihybe Bookmark Taehyung DVD Sys final 45k dom Semarang nder;0;user bookmark taehyung dvd sys final 4 5 dom semarang nder;['user', 'bookmark', 'taehyung', 'dvd', 'sys', 'final', '4', '5', 'dom', 'semarang', 'nder'];['user', 'bookmark', 'taehyung', 'dvd', 'sys', 'final', '4', '5', 'dom', 'semarang', 'nder'];user bookmark taehyung dvd sys final 4 5 dom semarang nder
35;35;"@jajanbhlabels Br most one PC Jimin 700k
Br memo 20 PC Jimin 1,7jt
Inc packing
Bisa nego tipis
Dom Semarang nder https://t.co/veKxLKyB0V";1;user br most one pc jimin 7 0 0 br memo number pc jimin number 7 jt inc packing bisa nego tipis dom semarang nder covekxlkyb0v;['user', 'br', 'most', 'one', 'pc', 'jimin', '7', '0', '0', 'br', 'memo', 'number', 'pc', 'jimin', 'number', '7', 'jt', 'inc', 'packing', 'bisa', 'nego', 'tipis', 'dom', 'semarang', 'nder', 'covekxlkyb0v'];['user', 'br', 'most', 'one', 'pc', 'jimin', '7', '0', '0', 'br', 'memo', 'number', 'pc', 'jimin', 'number', '7', 'jt', 'inc', 'packing', 'bisa', 'nego', 'tipis', 'dom', 'semarang', 'nder', 'covekxlkyb0v'];user br most one pc jimin 7 0 0 br memo number pc jimin number 7 jt inc packing bisa nego tipis dom semarang nder covekxlkyb0v
36;36;"RT @heryawan_g: Bapak Menteri BUMN Erick Thohir Menjadi Keynote Speaker pada
Kuliah Umum di Kampus Universitas Negeri Semarang (UNNES).
@er…";0;rt user bapak menteri bumn erick thohir menjadi keynote speaker pada kuliah umum di kampus universitas negeri semarang unnes user;['rt', 'user', 'bapak', 'menteri', 'bumn', 'erick', 'thohir', 'menjadi', 'keynote', 'speaker', 'pada', 'kuliah', 'umum', 'di', 'kampus', 'universitas', 'negeri', 'semarang', 'unnes', 'user'];['rt', 'user', 'bapak', 'menteri', 'bumn', 'erick', 'thohir', 'menjadi', 'keynote', 'speaker', 'pada', 'kuliah', 'umum', 'di', 'kampus', 'universitas', 'negeri', 'semarang', 'unnes', 'user'];rt user bapak menteri bumn erick thohir menjadi keynote speaker pada kuliah umum di kampus universitas negeri semarang unnes user
37;37;"RT @DM_N4BYL: Mas mentri BUMN Erick Thohir memberikan Kuliah Umum dengan Tajuk :

“Peran BUMN Dalam Menghadapi Tantangan Ekonomi Baru Dan R…";0;rt user mas mentri bumn erick thohir memberikan kuliah umum dengan tajuk peran bumn dalam menghadapi tantangan ekonomi baru dan;['rt', 'user', 'mas', 'mentri', 'bumn', 'erick', 'thohir', 'memberikan', 'kuliah', 'umum', 'dengan', 'tajuk', 'peran', 'bumn', 'dalam', 'menghadapi', 'tantangan', 'ekonomi', 'baru', 'dan'];['rt', 'user', 'mas', 'mentri', 'bumn', 'erick', 'thohir', 'memberikan', 'kuliah', 'umum', 'dengan', 'tajuk', 'peran', 'bumn', 'dalam', 'menghadapi', 'tantangan', 'ekonomi', 'baru', 'dan'];rt user mas mentri bumn erick thohir memberikan kuliah umum dengan tajuk peran bumn dalam menghadapi tantangan ekonomi baru dan
38;38;28.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN:  Kontrol Bengkel Kerja, Kalapas Ambarawa, Agus Heryanto Semangati WB… https://t.co/N2GHKMblQc;0;number kakanwil kemenkumham jateng yuspahruddin kontrol bengkel kerja kalapas ambarawa agus heryanto semangati wb con2ghkmblqc;['number', 'kakanwil', 'kemenkumham', 'jateng', 'yuspahruddin', 'kontrol', 'bengkel', 'kerja', 'kalapas', 'ambarawa', 'agus', 'heryanto', 'semangati', 'wb', 'con2ghkmblqc'];['number', 'kakanwil', 'kemenkumham', 'jateng', 'yuspahruddin', 'kontrol', 'bengkel', 'kerja', 'kalapas', 'ambarawa', 'agus', 'heryanto', 'semangati', 'wb', 'con2ghkmblqc'];number kakanwil kemenkumham jateng yuspahruddin kontrol bengkel kerja kalapas ambarawa agus heryanto semangati wb con2ghkmblqc
