,isi_tweet,sentimen
11,Menteri BUMN @erixkh_ memberikan kuliah umum dengan tema “Peran BUMN Dalam Menghadapi Tantangan Ekonomi Baru Dan Re… https://t.co/vPz733F96G,0
12,"RT @SydneyX5w: Kuliah Umum di Kampus Universitas Negeri Semarang (UNES) Bersama Menteri BUMN @erickthohir 👏👏👏

#BangkitBersamaET https://t.…",0
13,"RT @kochengfs: 🐈 haiii aku open adopt kittens nih, peranakan persia-domestik . ada 4 (2cewe, 2 cowo), boleh adopt salah satu/semuanya, tapi…",0
14,RT @Retnowonosari: Moment Menteri BUMN @erickthohir  memberikan Kuliah Umum yang bertema “Peran BUMN Dalam Menghadapi Tantangan Ekonomi Bar…,0
15,"RT @elilalofyuu: Rekomendasi handbag, slingbag &amp; shoulderbag

˗ˏˋ a thread

Lahiran Hasil Tes Otak Telkomsel Wahabi Danamon smtown Hallowee…",0
16,49.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN:  Imigrasi Semarang Komitmen Cegah Dugaan Tindak Pidana Perdagangan O… https://t.co/xRj9WtieIO,0
17,Suasana Terkini Rumah Duka Novita Korban Penembakan Texas di Semarang https://t.co/ovSDyKVcsJ,0
18,"RT @bwinsandi3: Menteri BUMN @erickthohir temui warga nelayan di Tambak Loro, Semarang, Jawa Tengah, Sabtu (29/10/2022).  Erick kembali bic…",0
19,"Jenazah Novita Kurnia Putri, korban salah tembak di San Antonio, Texas, AS, dimakamkan di TPU Sasonoloyo Bumi Rejo,… https://t.co/bLUdFZrrFD",0
20,"RT @polsekgayamsar1: Kunjungan Kapolri dalam rangka Stadium Generale  Universitas Islam Negeri Walisongo di UIN Walisongo Semarang, Sabtu (…",0
21,info lomba fifa semarang,0
22,RT @budibongg: Tahu bakso Bu Pudji、semarang https://t.co/WaiCe9HHxt,0
23,"Distributor Resmi Herbal Kolesterol di Semarang, WA: 083842437980 (Suci)- LINE: ieq1101b #HerbalKolesterolSemarang #Semarang",0
24,RT @budibongg: Tahu bakso Bu Pudji、semarang https://t.co/WaiCe9HHxt,0
25,@budibongg Uncle lg di semarang,0
26,RT @budibongg: Tahu bakso Bu Pudji、semarang https://t.co/WaiCe9HHxt,0
27,Kasih rekomendasi makanan Semarang dong wajib dicoba (lima aja ya hehehe),0
28,@alexei_andreas Ajsjsjdjfj kira2 dilan ngapain ya sampe mas minke Semarang itu???,0
29,Tahu bakso Bu Pudji、semarang https://t.co/WaiCe9HHxt,0
30,"Kapolri Hadiri Undangan Orasi Kebangsaan Sumpah Pemuda

Kapolri Jenderal Polisi Drs. Listyo Sigit Prabowo,… https://t.co/GRMJYcZZgt",0
31,"RT @NCTDreamINA: /dreamies Halo semua, aku mau ajak nctzen semarang buat nonton bareng NCT DREAM THE MOVIE kalau udah rilis di Indonesia ak…",0
32,"Oke tambah 1 lagi dari org yg pen aku gebukkk

👦 makmur nu ra neng semarang, pipimu tambah gede

😭😭😭 halal untuk ditabokkk",0
33,"RT @browklynbaby_: flow overall / jumpsuit / baju kodok wanita 😍😍
🖇️ https://t.co/XfpLq3gYBE

#racunshopee #BLACKPINK_WORLDTOUR #1YearUniql…",0
34,@geraihybe Bookmark Taehyung DVD Sys final 45k dom Semarang nder,0
35,"@jajanbhlabels Br most one PC Jimin 700k
Br memo 20 PC Jimin 1,7jt
Inc packing
Bisa nego tipis
Dom Semarang nder https://t.co/veKxLKyB0V",1
36,"RT @heryawan_g: Bapak Menteri BUMN Erick Thohir Menjadi Keynote Speaker pada
Kuliah Umum di Kampus Universitas Negeri Semarang (UNNES).
@er…",0
37,"RT @DM_N4BYL: Mas mentri BUMN Erick Thohir memberikan Kuliah Umum dengan Tajuk :

“Peran BUMN Dalam Menghadapi Tantangan Ekonomi Baru Dan R…",0
38,"28.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN:  Kontrol Bengkel Kerja, Kalapas Ambarawa, Agus Heryanto Semangati WB… https://t.co/N2GHKMblQc",0
39,"Nyokap : ngapain td tiba2 nyuruh ke semarang.
Gua : ya kan gua sakit, urusin lah wkwk
Nyokap : dih uda 25 woi andaa… https://t.co/HXQzK5eqJR",0
40,"Buat pecinta buku di semarang wajib banget dateng ke RPP Gedung Sumbing, @bbwbooks_id lagi ngadain event bazar buku… https://t.co/FQxcM0n9YQ",0
41,"@unnesmenfess True cuy, awal2 ke semarang diserbu ama playlist2 satru dkk",1
42,MW KE BBW SEMARANG AJGGG😭😭😭😭knp kudu akhir bulan hikss,0
43,"27.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN:  Kontrol Bengkel Kerja, Kalapas Ambarawa, Agus Heryanto Semangati WB… https://t.co/wBWvqJlLhS",0
44,"26.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN:  Kontrol Bengkel Kerja, Kalapas Ambarawa, Agus Heryanto Semangati WB… https://t.co/l1h27enjfI",0
45,"25.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN:  Kontrol Bengkel Kerja, Kalapas Ambarawa, Agus Heryanto Semangati WB… https://t.co/ZKYJmPKUnr",0
46,"24.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN:  Kontrol Bengkel Kerja, Kalapas Ambarawa, Agus Heryanto Semangati WB… https://t.co/TX26diV3Qp",0
47,"RT @GajahmadaFM: Apa itu katarak? Apa gejalanya serta bagaimana penanganannya?

Simak penjelasan Dr. Laras Widayanti, SpM - Dokter Spesiali…",0
48,"23.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN:  Kontrol Bengkel Kerja, Kalapas Ambarawa, Agus Heryanto Semangati WB… https://t.co/Z9mTR425GH",0
49,Pijat pasutri semarang mana ya https://t.co/tnBbFwEfUd,0
50,"22.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN:  Kontrol Bengkel Kerja, Kalapas Ambarawa, Agus Heryanto Semangati WB… https://t.co/HTZcRZSZ0I",0
51,"RT @ketjususuu: 💥 rekomendasi jeans highwaist 💥

- a thread 

( hasil tes otak kanan kiri telkomsel lahiran saat malam minggu halloween ber…",0
52,"21.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Kontrol Bengkel Kerja, Kalapas Ambarawa, Agus Heryanto Semangati WBP… https://t.co/AYZu41oorZ",0
53,"Ke semarang naik mobil bis kota
Perginya pagi bareng si mia
Cinta bukan sembarang cinta
Cinta ku padamu sepanjang usia #robotpea",0
54,"20.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Kontrol Bengkel Kerja, Kalapas Ambarawa, Agus Heryanto Semangati WBP… https://t.co/Hwbdhf7afm",0
55,"19.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Kontrol Bengkel Kerja, Kalapas Ambarawa, Agus Heryanto Semangati WBP… https://t.co/TTuaOidJqz",0
56,"RT @Rena_mareta: Menteri BUMN Pak @erickthohir Sapa Warga Nelayan Tambak Lorok, di Kota Semarang.
Beliau hadir jg sekaligus memberikan prog…",0
57,"RT @jeeeek_: Menteri BUMN @erickthohir Sapa Warga Nelayan Tambak Loro, Kota Semarang.  Seperti diketahui, Tambak Lorok menjadi salah satu w…",0
58,"18.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Kontrol Bengkel Kerja, Kalapas Ambarawa, Agus Heryanto Semangati WBP… https://t.co/og5CZ24zKS",0
59,RT @Retnowonosari: Moment Menteri BUMN @erickthohir  memberikan Kuliah Umum yang bertema “Peran BUMN Dalam Menghadapi Tantangan Ekonomi Bar…,0
60,"RT @TopTofa: Wagub : Kampung Kauman yang masih berada satu lingkup dengan Alun-alun Kota Semarang. Menurutnya, Etnis Arab, Tionghoa, dan Ja…",0
61,"RT @febriyan_id: Dampingi Kapolri Silaturahmi ke Ulama di Semarang, Taj Yasin Imbau Masyarakat Terus ...
https://t.co/WqGWpxt5NL
#TajYasin…",0
62,Info dokter anak kayak dokter adhit ini dong di semarang/surabaya/jember 🥺 https://t.co/IxP0x1gdpr,0
63,"aku pengin main deh ke semarang bawah, enaknya kemana ya ?",1
64,"RT @mantanBCL: Menteri BUMN Erick Thohir mengisi Kuliah Umum di Kampus Universitas Negeri Semarang (UNES).
@erickthohir 
#BangkitBersamaET…",0
65,"17.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Kontrol Bengkel Kerja, Kalapas Ambarawa, Agus Heryanto Semangati WBP… https://t.co/aqT2RaUWj8",0
66,"RT @MalikAchmad06: Menteri BUMN Erick Thohir hadiri Kuliah Umum di Kampus Universitas Negeri Semarang (UNES), Semarang. Beliau juga sekalia…",0
67,"RT @DM_N4BYL: Mas mentri BUMN Erick Thohir Dalam rangka melakukan Kunjungan kerja

Hadir dan menyapa, menyerap aspirasi serta permasalahan…",0
68,"RT @penyemanqat: Atasan batik biru navy
📎https://t.co/8An6v85Bsv
📎https://t.co/NPZfAWYFdm
📎https://t.co/NhcCFV39fo
📎https://t.co/duo7X9X3nq…",0
69,"16.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Imigrasi dalam Pencegahan Dugaan Tindak Pidana Perdagangan Orang
https://t.co/JBWvQ5cdjW",0
70,"@aleearth_ Morning alee! Wah mas lingga nya di bandung nih, lagi gak di semarang 😂",0
71,"RT @denni_sauya: Di Jawa Tengah Menteri BUMN Erick Thohir Sapa Warga Nelayan Tambak Lorok, Kota Semarang.
@erickthohir 
#BangkitBersamaET h…",0
72,"RT @sedulur_SGN: “Ditambah kita menghadapi pemilu 2024,kita berharap sih, isu isu terkait agama tidak perlu diangkat sedemikian rupa, toh k…",0
73,"RT @OTONK2000: Pak @erickthohir mengikuti Kuliah Umum di Kampus Universitas Negeri Semarang (UNES)
#BangkitBersamaET https://t.co/BCspxlaEuW",0
74,"RT @Juragantajirrr: ""Masyarakat menginginkan Pak Erick Thohir menjadi wapres karena beliau bekerja nyata dan menjadi andalan Presiden Jokow…",0
75,"RT @Bias_suara: Di Semarang Erick Thohir menyempatkan menyapa Warga Nelayan Tambak Loro, Kota Semarang

#BangkitBersamaET https://t.co/pDyn…",0
76,RT @JarnasABW: Relawan JARNAS semakin hari semakin merata di Jawa Tengah. Untuk menyatukan langkah strategis JARNAS menyelenggarakan Sekola…,0
77,"12.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Imigrasi dalam Pencegahan Dugaan Tindak Pidana Perdagangan Orang
https://t.co/u1fKfl4ktQ",0
78,"RT @TopTofa: Usai menjadi inspektur upacara, Wagub Taj Yasin berjalan menuju serambi Masjid Agung Kauman Semarang untuk menghadiri Saraseha…",0
79,"❤ Recommended

base › jogjakarta
expo
› semarang now

@selaluRindu_
@RinduGadis_ https://t.co/5gYxS0Kb6p",-1
80,"rela2 mau nyamperin ke semarang, eh yang mau disamperin malah ke dewata😀 yawes nexttime hhu",0
81,"RT @Abkar5758: Dampingi Kapolri di Semarang, Gus Yasin Imbau Warga Terus Jaga Kerukunan https://t.co/zdPGdv0lew
#GusYasin 
#PanglimaSGN 
#S…",0
82,"RT @jaeyunloverclub: #𝟮
𝑻𝒉𝒆 𝑮𝒍𝒆𝒂𝒎 𝒐𝒇 𝑶𝒖𝒓 𝑺𝒕𝒂𝒓

“Jake Special Photobooth Event”

🗓: Nov 13-20 2022
📍: Jakarta, Tangerang, Bekasi, Gresik, Su…",1
83,@caratsstore inc all dom semarang bisa keep event https://t.co/CHGo7YWpxK,0
84,"-dips! ada anjem mobil buat dari stasiun semarang poncol ke tembalang hari ini sekitar jam 14.45 gak? drop fee juga ya, makasih",0
85,@caratsmarket yuk di take inc all dom semarang bisa keep event https://t.co/CHGo7YWpxK,0
86,"HELP RT
WTS LS BLACKPINK VER 2 LIMITED EDITION
💸 900k Boleh Nego
 Harga belum termasuk Packing&amp;Ongkir
Include
🎀Ligh… https://t.co/okKae8vlkr",-1
87,Semua orang bisa memilih tapi tak semua orang bisa setia dgn pilihannya #foredi #semarang #SolusiEjakulasiDini,0
88,"Angin d solo gede banget .sepoy sepoy .
Siap siap otw SEMARANG
#ExpoSemarang #semarangbo https://t.co/oSsUtKV3Ag",0
89,"@BoyzFess_ let's be moots, semarang kudu hati² juga nder :)",0
90,"@patjarmerah_id Min, kapan ke semarang lagi?",0
91,RT @FiersaBesari: Terima kasih karena telah berjuang sampai Semarang https://t.co/YQeMHzN8Rh,0
92,loker bongkar muat barang di semarang  https://t.co/LoIeuAFxV7,0
93,RT @GreenpeaceID: Ada acara musik juga yang gak kalah kece sama acara sebelumnya. Cus daftar di https://t.co/ewOFMT8bbL https://t.co/THyKk1…,0
94,"RT @Juragantajirrr: Menteri BUMN @erickthohir saat bertemu dan menyapa warga nelayan Tambak Loro, Kota Semarang dalam acara ""Sapa Warga Nel…",0
95,"Tak perlu menunggu menjadi Gubernur seperti di Jakarta utk membangun Kampung Warna warni.
Baru bisa ngecat genting… https://t.co/UqkONhqPav",0
96,@FWBESS Semarang,0
97,"Ada yang open jastip BBW Semarang hari ini gak, ya?",0
98,Namanya tante Mia  usia 33 tahun cari pemuas wilayah Semarang biaya pendaftaran 200 ribu https://t.co/JEFiIAJcN4,0
99,Jenazah WNI Asal Semarang yang Jadi Korban Penembakan di Texas Tiba di Rumah Duka https://t.co/i6vutbxTFF,0
